month,day,gas,ton_CO2,CER_CO2,petroleo,prec,sol,tmed,velmedia,acumuladoprec,Precio medio,anno,Weekend,Invierno,Verano,Otono,Festivo,mes,cat_prec,cat_acumuladoprec,cat_sol,cat_tmed,cat_velmedia,cat_petroleo,cat_gas,cat_ton_CO2,cat_CER_CO2
2,24,16.986666666666668,11.851666666666667,0.22833333333333336,55.714999999999996,1.1669134360926459,7.0997668294215215,10.018246601919996,2.93013352409247,21.06387481258907,43.20375000000001,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,2.0,1.8333333333333333,2.5,2.1666666666666665,1.6666666666666667,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,25,16.986666666666668,11.785000000000002,0.22666666666666668,55.76,1.1575203539303087,6.9937858087752725,10.463479927148517,3.142027633663195,20.51534788011881,42.85180555555556,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,1.8333333333333333,1.8333333333333333,2.5,2.1666666666666665,1.6666666666666667,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,26,16.986666666666668,11.766666666666666,0.22833333333333336,56.53833333333333,2.6961683678157655,6.565775637594581,10.52821637145865,3.158484824654634,19.47873606788123,42.941805555555554,2017.5,0.16666666666666666,1.0,0.0,0.0,0.0,2.0,2.0,1.6666666666666667,2.3333333333333335,2.5,2.1666666666666665,2.1666666666666665,2.0,1.8333333333333333,1.8333333333333333
2,27,16.986666666666668,12.023333333333333,0.23,56.27166666666667,2.9129157535130594,6.218345746611962,9.788215382966454,3.9393008860274477,18.02562988372948,39.55993055555555,2017.5,0.16666666666666666,1.0,0.0,0.0,0.0,2.0,2.1666666666666665,1.5,2.0,2.1666666666666665,2.5,2.0,2.0,2.0,1.8333333333333333
2,28,16.986666666666668,12.093333333333334,0.22999999999999998,55.59833333333333,3.2305695984798546,5.1595328499985795,10.196419992629055,3.481673817439285,18.57864421695125,37.69284722222222,2017.5,0.3333333333333333,1.0,0.0,0.0,0.0,2.0,2.0,1.6666666666666667,1.8333333333333333,2.0,2.3333333333333335,1.8333333333333333,2.0,2.0,1.8333333333333333
2,29,10.79,14.93,0.31,43.615,0.5763585434173668,5.607276995305164,10.477238154930292,4.495364176885916,21.22148440433572,21.84041666666667,2018.0,0.5,1.0,0.0,0.0,0.0,2.0,1.5,1.5,1.5,2.5,3.0,1.0,1.5,2.0,2.5
3,1,16.381666666666668,12.293333333333335,0.225,55.44333333333333,3.4522024012476797,6.264716241440319,11.583043156560395,3.5524493782934528,19.388365118490643,37.34979166666667,2017.5,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,2.0,1.5,1.8333333333333333,2.1666666666666665,2.1666666666666665,1.8333333333333333,2.0,2.3333333333333335,1.8333333333333333
3,2,16.381666666666668,11.961666666666668,0.2316666666666667,55.29666666666666,2.7423267713477255,6.112853519761902,11.815362191140139,3.6654945747261536,21.98398732923759,39.684305555555554,2017.5,0.16666666666666666,0.0,0.0,0.0,0.0,3.0,2.0,1.6666666666666667,2.0,2.1666666666666665,1.8333333333333333,1.8333333333333333,2.0,2.1666666666666665,1.8333333333333333
3,3,16.381666666666668,12.821666666666667,0.23,55.33166666666667,3.4785465064539607,5.494219718278035,11.611370390021383,3.857116783809408,23.10419041920105,38.55229166666666,2017.5,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,2.3333333333333335,1.8333333333333333,1.5,2.1666666666666665,2.3333333333333335,1.8333333333333333,2.0,2.1666666666666665,2.0
3,4,16.381666666666668,11.963333333333333,0.24333333333333332,55.498333333333335,2.623703185640682,5.733993547605015,11.052423456874104,3.7733785473082673,25.44909408657607,34.94041666666667,2017.5,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,2.3333333333333335,2.0,1.6666666666666667,2.1666666666666665,2.3333333333333335,2.0,2.0,2.0,2.1666666666666665
